Aborted,Abrtd
Identification,IDfcn
Identifier,IDfr
Idle,Idle
Immobilizer,Immob
Impact,Impct
In,In
Increase,Incrs
Independent,Indep
Index,Indx
Indication,Indictn
Indicator,Indictr
Information,Info
Inhibit,Inh
Initial,Intl
Initialized,Intlzd
Injected,Inj
Input,Inp
Instantaneous,Instant
Intake,Intk
Integrity,Integ
Intended,Intnd
Intent,Intnt
Interior,Intr
Intervention,Intrvnt
Inverter,Invrtr
LS,LS
Last,Last
Lateral,Latrl
Learned,Learnd
Left,L
Legislated,Legisltd
Level,Lvl
Lever,Lvr
Life,Life
Lights,Lghts
Limit,Lmt
Limitation,Limttn
Limiting,Limtg
Load,Load
Lock,Lck
Low,Low
Malfunction,Malfctn
Management,Mgmt
Manifold,Mnfld
Mask,Mask
Mass,Mass
Master,Mstr
Matrix,Mtrx
Maximum,Max
Measurement,Meas
Met,Met
Metal,Mtl
Minimum,Min
Mode,Mode
Moderate,Mod
Multiturn,Multitrn
Neutral,Neut
Nominal,Nom
Non,Non
Normalized,Norm
Not,Not
Notification,Notif
Now,Now
Number,Num
Occurred,Occurd
Odometer,Odom
Of,Of
Off,Off
Oil,Oil
On,On
Open,Opn
Operating,Oprtng
Operational,Oprtnl
Output,Out
Outside,Outsd
Over,Over
Overall,Overll
Overdrive,Overdrv
Override,Overrd
Oxygen,Oxy
PPEI,PPEI
PTEI,PTEI
PTO,PTO
Pack,Pack
Park,Prk
Particle,Part
Particulate,Partclt
Passed,Pasd
Password,Pass
Pattern,Patt
Pedal,Pedl
Pending,Pend
Per,Per
Percent,Perc
Performance,Perf
Performed,Perfmd
Platform,Plat
Plug,Plug
Position,Pos
Post,Post
Power,Pwr
Powertrain,Pwrtrn
Pre,Pre
Preference,Pref
Preheating,Preht
Present,Pres
Pressure,Pres
Progress,Prog
Progression,Progrsn
Protection,Prot
Pulse,Puls
Pump,Pump
Range,Rng
Rate,Rate
Ratio,Rat
Rear,Rear
Recommended,Rec
Reduced,Redcd
Reduction,Reduct
Reengagement,Reengag
Refrigerant,Refrg
Regeneration,Regen
Regulated,Regltd
Regulator,Reglr
Related,Reltd
Release,Rels
Remaining,Rem
Remote,Remt
Request,Req
Requested,Req
Requests,Req
Required,Reqd
Reserved,Res
Reset,Rstt
Resume,Resm
Revolution,Rev
Right,R
Road,Rd
Rolling,Rol
Rollover,Rol
Rotation,Rot
Rotational,Rot
Rotations,Rots
Run,Run
Running,Rung
Secondary,Sec
Selected,Sel
Selection,Seln
Sensing,Sns
Sensor,Sensr
Sequence,Seq
Service,Serv
Services,Svcs
Set,Set
Setpoint,Setp
Severity,Sever
Shaft,Shft
Shift,Shift
Shifts,Shifts
Shutdown,Shtd
Side,Side
Since,Sinc
Skip,Skip
Smoothing,Smooth
Source,Src
Spare,Spar
Special,Spcl
Speed,Spd
StAndard,Std
Stability,Stab
Stage,Stage
Start,Strt
Starter,Strtr
Starting,Strtng
Starvation,Strv
State,State
Status,Stat
Steer,Str
Steering,Strng
SubID,SubID
Superceded,Suprcd
Supported,Suprtd
Switch,Swtch
System,Sys
TC,TC
Take,Take
Tank,Tnk
Tap,Tap
Target,Trgt
Temperature,Temp
Temporary,Tempry
Terminal,Term
Test,Test
Thermal,Thrml
Threshold,Thr
Throttle,Throt
Time,Time
Timebase,Timebs
Timestamp,Stamp
Tire,Tire
To,To
Top,Top
Torque,Torq
Total,Tot
Traction,Tract
Transition,Trans
Transmission,Trans
Travel,Trav
Triggered,Trig
Trouble,Trob
Type,Type
Under,Undr
Unlock,Unlk
Unused1,Unus1
Unused2,Unus2
Unused3,Unus3
Unused4,Unus4
Unused5,Unus5
Unused6,Unus6
Unused7,Unus7
Up,U
Up/Down,UD
Up/Tap,UTap
Upshift,Upshft
VIN,VIN
Validity,Vald
Value,Val
Valve,Valv
Vehicle,Veh
Velocity,Vel
Virtual,Vuirt
Voltage,Volt
Warm,Warm
Warning,Warng
Water,Watr
Wheel,Wh
Yaw,Yaw
